Name,Gender,Relationship,Age,City,Sector,Income,Needs,Expenses,Saving
Aastha Devi Yadav,Female,Married,21-25,Meerut,Private,1019708,509854,305912,203942
Harsh Dev Mathur,Male,Married,36-50,Bhopal,Government,1397136,698568,419140,279428
Sneha Devi Khanna,Female,Divorced,21-25,Prayagraj,Public,607239,418291,158883,30065
Sunita Shree Mittal,Female,Single,21-25,Ranchi,Business,561336,280668,168400,112268
Mukesh Lal Kapoor,Male,Single,21-25,Ranchi,Government,415514,207757,124654,83103
Ishita Devi Rawat,Female,Divorced,36-50,Noida,Public,1153665,576832,346099,230734
Rekha Shree Rawat,Female,Divorced,26-35,Meerut,Business,1488745,744372,446623,297750
Varun Nath Malhotra,Male,Single,51-60,Lucknow,Government,1008119,504059,302435,201625
Manish Narayan Malhotra,Male,Unmarried,51-60,Ranchi,Public,1115807,557903,334742,223162
Vandana Devi Negi,Female,Married,26-35,Patna,Public,874260,437130,262278,174852
Mahesh Mohan Arora,Male,Married,36-50,Meerut,Public,853636,426818,256090,170728
Saurabh Chandra Arora,Male,Divorced,21-25,Ranchi,Private,445368,222684,133610,89074
Nikhil Chandra Khanna,Male,Unmarried,36-50,Ghaziabad,Private,628584,314292,188575,125717
Vandana Kumari Kapoor,Female,Married,21-25,Prayagraj,Government,833359,416679,250007,166673
Aarav Prasad Kapoor,Male,Married,26-35,Noida,Public,506050,353068,109611,43371
Vikas Narayan Tandon,Male,Unmarried,51-60,Dehradun,Private,999881,499940,299964,199977
Ajay Kumar Suri,Male,Divorced,26-35,Chandigarh,Public,1256416,628208,376924,251284
Rahul Mohan Khanna,Male,Divorced,21-25,Jaipur,Government,1218318,609159,365495,243664
Monika Devi Rawat,Female,Single,21-25,Ranchi,Private,761077,380538,228323,152216
Rohit Kumar Pandey,Male,Divorced,36-50,Aligarh,Private,1113793,556896,334137,222760
Swati Devi Bajaj,Female,Single,26-35,Chandigarh,Private,1167536,583768,350260,233508
Rashmi Bala Negi,Female,Unmarried,51-60,Jaipur,Government,1220487,610243,366146,244098
Aakanksha Rani Kapoor,Female,Divorced,51-60,Gurgaon,Government,646726,323363,194017,129346
Madhu Shree Mishra,Female,Unmarried,26-35,Kanpur,Government,614777,307388,184433,122956
Sunil Dev Thakur,Male,Unmarried,36-50,Kanpur,Public,903342,451671,271002,180669
Kusum Bala Mahajan,Female,Single,51-60,Aligarh,Private,523242,261621,156972,104649
Sneha Devi Kapoor,Female,Married,51-60,Chandigarh,Public,1048659,524329,314597,209733
Vikas Narayan Aggarwal,Male,Married,51-60,Indore,Private,903870,451935,271161,180774
Kiran Kumari Joshi,Female,Married,36-50,Jaipur,Business,729298,364649,218789,145860
Deepak Dev Luthra,Male,Single,21-25,Aligarh,Business,510245,255122,153073,102050
Aarav Lal Mishra,Male,Unmarried,51-60,Ranchi,Private,528945,264472,158683,105790
Ishita Kumari Gupta,Female,Single,36-50,Lucknow,Government,1422083,711041,426624,284418
Harsh Narayan Goel,Male,Single,26-35,Ranchi,Public,782175,391087,234652,156436
Harsh Chandra Joshi,Male,Married,21-25,Aligarh,Business,1425820,712910,427746,285164
Aditya Kumar Tripathi,Male,Single,36-50,Bhopal,Private,1391561,695780,417468,278313
Naresh Lal Mahajan,Male,Single,21-25,Jaipur,Private,697734,348867,209320,139547
Varun Chandra Gupta,Male,Unmarried,36-50,Jaipur,Government,765920,382960,229776,153184
Saurabh Mohan Arora,Male,Single,26-35,Ranchi,Private,554358,277179,166307,110872
Rajesh Dev Bhardwaj,Male,Unmarried,51-60,Delhi,Private,1486032,743016,445809,297207
Nikhil Dev Khanna,Male,Divorced,51-60,Dehradun,Public,353396,176698,106018,70680
Rohit Dev Yadav,Male,Single,21-25,Patna,Public,1362724,681362,408817,272545
Naresh Narayan Chhabra,Male,Single,26-35,Ranchi,Public,1263289,631644,378986,252659
Rachna Bala Verma,Female,Married,21-25,Agra,Public,652789,326394,195836,130559
Ankit Nath Jain,Male,Single,51-60,Kanpur,Government,1362463,681231,408738,272494
Sandeep Chandra Tripathi,Male,Unmarried,21-25,Dehradun,Public,1396452,698226,418935,279291
Yash Lal Tandon,Male,Married,21-25,Meerut,Public,453443,226721,136032,90690
Alok Kumar Jain,Male,Single,26-35,Kanpur,Public,816344,408172,244903,163269
Nisha Shree Jain,Female,Married,51-60,Jaipur,Public,973636,486818,292090,194728
Pankaj Dev Srivastava,Male,Married,21-25,Ghaziabad,Public,1329932,947185,255825,126922
Aanchal Rani Bansal,Female,Married,26-35,Delhi,Public,427605,213802,128281,85522
Saurabh Narayan Tandon,Male,Single,51-60,Delhi,Private,874650,437325,262395,174930
Vikas Chandra Yadav,Male,Unmarried,36-50,Gurgaon,Public,975722,487861,292716,195145
Sunil Kumar Arora,Male,Single,21-25,Indore,Government,461317,230658,138395,92264
Shubham Lal Tandon,Male,Divorced,26-35,Bhopal,Public,743904,520775,153051,70078
Amit Dev Tripathi,Male,Divorced,36-50,Kanpur,Government,372596,186298,111778,74520
Rahul Narayan Mathur,Male,Unmarried,21-25,Varanasi,Public,1046493,523246,313947,209300
Sneha Shree Srivastava,Female,Married,26-35,Bhopal,Government,640554,320277,192166,128111
Aaditya Mohan Bhatia,Male,Unmarried,21-25,Patna,Government,644850,322425,193455,128970
Rahul Chandra Chauhan,Male,Divorced,36-50,Jaipur,Government,1419639,709819,425891,283929
Mohit Prasad Duggal,Male,Unmarried,26-35,Indore,Private,646882,323441,194064,129377
Sanjay Chandra Jain,Male,Married,26-35,Ghaziabad,Government,1405885,702942,421765,281178
Meenal Shree Arora,Female,Married,51-60,Varanasi,Business,1206169,603084,361850,241235
Rekha Bala Thakur,Female,Divorced,36-50,Chandigarh,Business,527127,263563,158138,105426
Aanchal Shree Tandon,Female,Unmarried,36-50,Gurgaon,Government,1141426,570713,342427,228286
Kavita Kumari Tandon,Female,Single,36-50,Noida,Government,691677,345838,207503,138336
Payal Shree Wadhwa,Female,Unmarried,26-35,Ghaziabad,Business,665709,332854,199712,133143
Ajay Kumar Chopra,Male,Divorced,21-25,Varanasi,Business,1121003,560501,336300,224202
Rahul Dev Malhotra,Male,Single,51-60,Agra,Government,1301678,650839,390503,260336
Vivek Dev Negi,Male,Single,26-35,Noida,Business,1369074,684537,410722,273815
Pranav Narayan Joshi,Male,Divorced,21-25,Dehradun,Government,1211521,605760,363456,242305
Vinod Chandra Bajaj,Male,Married,51-60,Delhi,Business,621726,310863,186517,124346
Aarav Dev Mishra,Male,Divorced,36-50,Aligarh,Private,545502,272751,163650,109101
Rashmi Devi Gupta,Female,Unmarried,26-35,Ranchi,Public,1022682,511341,306804,204537
Pankhuri Rani Kapoor,Female,Single,51-60,Bhopal,Public,892884,446442,267865,178577
Yash Narayan Saxena,Male,Divorced,21-25,Delhi,Public,1324731,662365,397419,264947
Mukesh Prasad Jain,Male,Unmarried,36-50,Chandigarh,Public,936815,468407,281044,187364
Abhishek Nath Arora,Male,Single,51-60,Varanasi,Government,839009,419504,251702,167803
Saurabh Nath Bhatia,Male,Unmarried,26-35,Jaipur,Public,827409,413704,248222,165483
Pallavi Bala Chopra,Female,Married,51-60,Jaipur,Business,1296211,648105,388863,259243
Rajesh Prasad Gupta,Male,Single,36-50,Aligarh,Business,593920,296960,178176,118784
Geeta Shree Arora,Female,Single,36-50,Ranchi,Private,1468472,734236,440541,293695
Rohit Lal Seth,Male,Single,36-50,Bhopal,Government,595508,297754,178652,119102
Pooja Shree Saxena,Female,Married,26-35,Agra,Government,1064929,728785,232166,103978
Vandana Devi Singh,Female,Married,36-50,Agra,Public,1304233,652116,391269,260848
Alok Chandra Suri,Male,Single,21-25,Noida,Public,596136,298068,178840,119228
Vivek Chandra Tripathi,Male,Divorced,36-50,Ranchi,Business,1341232,670616,402369,268247
Naveen Nath Jain,Male,Married,51-60,Chandigarh,Public,958027,479013,287408,191606
Ajeet Mohan Agarwal,Male,Divorced,26-35,Kanpur,Public,664275,332137,199282,132856
Anurag Nath Khanna,Male,Married,36-50,Jaipur,Government,790587,395293,237176,158118
Suman Rani Luthra,Female,Single,36-50,Bhopal,Business,776178,388089,232853,155236
Sumit Mohan Malhotra,Male,Single,51-60,Bhopal,Private,1224223,863589,295488,65146
Deepika Rani Saxena,Female,Single,26-35,Meerut,Private,1205058,602529,361517,241012
Vivek Mohan Saxena,Male,Divorced,21-25,Ranchi,Public,1209343,604671,362802,241870
Abhishek Chandra Rawat,Male,Divorced,36-50,Ranchi,Government,1306752,653376,392025,261351
Mahesh Dev Mehra,Male,Divorced,26-35,Bhopal,Private,780169,390084,234050,156035
Aaditya Narayan Joshi,Male,Divorced,26-35,Ranchi,Government,1392289,696144,417686,278459
Naresh Mohan Yadav,Male,Single,51-60,Varanasi,Business,529094,264547,158728,105819
Naresh Nath Arora,Male,Unmarried,51-60,Kanpur,Private,608374,304187,182512,121675
Preeti Bala Khanna,Female,Divorced,26-35,Dehradun,Private,418119,297343,82754,38022
Rajesh Kumar Bhardwaj,Male,Unmarried,26-35,Varanasi,Government,693856,346928,208156,138772
Aarushi Rani Yadav,Female,Unmarried,26-35,Jaipur,Business,650097,325048,195029,130020
Suman Bala Bhatia,Female,Single,51-60,Delhi,Public,1144999,572499,343499,229001
Ravi Kumar Bansal,Male,Unmarried,21-25,Bhopal,Business,892302,446151,267690,178461
Rachna Bala Singh,Female,Unmarried,36-50,Ranchi,Public,623709,311854,187112,124743
Pranav Lal Gupta,Male,Unmarried,36-50,Ghaziabad,Private,1027629,513814,308288,205527
Rohit Dev Seth,Male,Married,26-35,Agra,Government,1410840,705420,423252,282168
Aadarsh Lal Kapoor,Male,Divorced,36-50,Jaipur,Business,419219,209609,125765,83845
Megha Rani Jain,Female,Divorced,36-50,Varanasi,Government,952445,476222,285733,190490
Jyoti Shree Saxena,Female,Single,36-50,Kanpur,Business,594208,297104,178262,118842
Yash Kumar Bajaj,Male,Married,26-35,Meerut,Government,1084135,542067,325240,216828
Neha Rani Khanna,Female,Unmarried,51-60,Patna,Business,1029442,514721,308832,205889
Vivek Narayan Seth,Male,Married,36-50,Delhi,Public,626849,313424,188054,125371
Mohit Mohan Suri,Male,Divorced,51-60,Delhi,Private,1239772,619886,371931,247955
Alok Lal Mittal,Male,Unmarried,26-35,Kanpur,Government,438171,219085,131451,87635
Sandeep Kumar Bansal,Male,Single,51-60,Noida,Government,872414,436207,261724,174483
Ankit Kumar Mittal,Male,Divorced,51-60,Prayagraj,Private,1033731,516865,310119,206747
Shruti Rani Khanna,Female,Divorced,51-60,Kanpur,Public,1482347,741173,444704,296470
Sumit Dev Verma,Male,Single,36-50,Kanpur,Business,775685,387842,232705,155138
Sneha Devi Rawat,Female,Divorced,26-35,Gurgaon,Public,1109783,554891,332934,221958
Naresh Chandra Verma,Male,Married,36-50,Gurgaon,Public,1172716,586358,351814,234544
Rohit Nath Mittal,Male,Unmarried,26-35,Kanpur,Government,367494,183747,110248,73499
Simran Shree Chauhan,Female,Single,21-25,Chandigarh,Government,1337774,668887,401332,267555
Aanchal Devi Goyal,Female,Unmarried,51-60,Dehradun,Business,436669,218334,131000,87335
Ritesh Dev Duggal,Male,Unmarried,21-25,Lucknow,Private,516279,258139,154883,103257
Pankhuri Shree Singh,Female,Single,51-60,Indore,Business,357605,178802,107281,71522
Kapil Lal Thakur,Male,Married,21-25,Bhopal,Business,1118761,559380,335628,223753
Rashmi Shree Yadav,Female,Divorced,26-35,Ghaziabad,Government,1461128,730564,438338,292226
Pankhuri Rani Bajaj,Female,Divorced,51-60,Lucknow,Public,914260,457130,274278,182852
Aarushi Bala Jain,Female,Single,21-25,Indore,Private,1020119,510059,306035,204025
Aashi Devi Aggarwal,Female,Divorced,36-50,Jaipur,Private,1200927,829510,255479,115938
Sneha Devi Yadav,Female,Unmarried,51-60,Noida,Public,456536,228268,136960,91308
Rohit Chandra Chopra,Male,Married,36-50,Aligarh,Private,1471040,735520,441312,294208
Aastha Rani Aggarwal,Female,Single,36-50,Meerut,Public,772918,386459,231875,154584
Rahul Nath Khanna,Male,Unmarried,26-35,Bhopal,Government,647289,323644,194186,129459
Simran Rani Agarwal,Female,Single,21-25,Jaipur,Business,1243899,621949,373169,248781
Sunita Bala Tandon,Female,Unmarried,26-35,Lucknow,Public,1284143,642071,385242,256830
Nikhil Narayan Goyal,Male,Single,36-50,Aligarh,Business,1368013,684006,410403,273604
Alok Chandra Chauhan,Male,Single,51-60,Delhi,Government,1398927,699463,419678,279786
Madhu Rani Negi,Female,Single,21-25,Patna,Public,1115423,557711,334626,223086
Yash Nath Tripathi,Male,Unmarried,21-25,Lucknow,Business,1363736,681868,409120,272748
Naveen Narayan Verma,Male,Unmarried,21-25,Gurgaon,Private,504379,252189,151313,100877
Aarav Nath Goyal,Male,Unmarried,26-35,Varanasi,Private,1089941,544970,326982,217989
Harsh Nath Duggal,Male,Single,36-50,Prayagraj,Public,1293641,646820,388092,258729
Aarav Lal Mehra,Male,Unmarried,21-25,Chandigarh,Business,1064008,532004,319202,212802
Siddharth Chandra Jain,Male,Single,21-25,Patna,Private,1026780,513390,308034,205356
Anurag Narayan Goyal,Male,Single,36-50,Kanpur,Government,1280363,640181,384108,256074
Kiran Kumari Arora,Female,Married,51-60,Dehradun,Government,1328626,664313,398587,265726
Aakanksha Devi Pandey,Female,Unmarried,36-50,Aligarh,Public,999641,499820,299892,199929
Aarushi Kumari Negi,Female,Divorced,26-35,Bhopal,Private,849591,424795,254877,169919
Kritika Shree Kapoor,Female,Single,26-35,Ghaziabad,Private,1075251,537625,322575,215051
Namrata Kumari Chopra,Female,Divorced,51-60,Varanasi,Public,979940,489970,293982,195988
Rachna Devi Goel,Female,Divorced,26-35,Jaipur,Business,1316971,658485,395091,263395
Simran Rani Seth,Female,Married,26-35,Chandigarh,Business,751120,375560,225336,150224
Aakarsh Mohan Chopra,Male,Divorced,26-35,Bhopal,Business,1319806,659903,395941,263962
Shreya Shree Negi,Female,Single,36-50,Bhopal,Business,1349403,674701,404820,269882
Pranav Chandra Malhotra,Male,Single,26-35,Noida,Private,817246,408623,245173,163450
Swati Bala Duggal,Female,Single,36-50,Lucknow,Business,916672,458336,275001,183335
Madhu Rani Arora,Female,Divorced,21-25,Delhi,Government,1337549,668774,401264,267511
Ashish Nath Suri,Male,Single,21-25,Patna,Business,952051,476025,285615,190411
Aadarsh Narayan Rawat,Male,Unmarried,51-60,Patna,Private,1362775,681387,408832,272556
Pankhuri Kumari Arora,Female,Unmarried,51-60,Bhopal,Private,953945,476972,286183,190790
Vivek Narayan Singh,Male,Married,36-50,Lucknow,Government,614012,307006,184203,122803
Harsh Dev Chopra,Male,Divorced,26-35,Noida,Government,813101,406550,243930,162621
Aastha Shree Mahajan,Female,Single,21-25,Chandigarh,Private,912938,456469,273881,182588
Shalini Rani Joshi,Female,Unmarried,21-25,Gurgaon,Public,1328868,664434,398660,265774
Sanjay Narayan Bajaj,Male,Unmarried,51-60,Dehradun,Government,736602,368301,220980,147321
Pallavi Bala Gupta,Female,Divorced,36-50,Patna,Government,892375,446187,267712,178476
Siddharth Narayan Jain,Male,Single,36-50,Lucknow,Private,374170,187085,112251,74834
Rohit Nath Kapoor,Male,Married,36-50,Ranchi,Business,805978,402989,241793,161196
Ajay Chandra Bajaj,Male,Unmarried,26-35,Chandigarh,Public,693060,346530,207918,138612
Kritika Devi Bansal,Female,Divorced,51-60,Ghaziabad,Business,1221237,610618,366371,244248
Siddharth Mohan Verma,Male,Single,26-35,Kanpur,Public,872602,436301,261780,174521
Rekha Shree Tandon,Female,Married,51-60,Varanasi,Public,692938,346469,207881,138588
Mahesh Lal Mishra,Male,Single,21-25,Prayagraj,Private,1030415,515207,309124,206084
Aakarsh Narayan Agarwal,Male,Single,21-25,Patna,Business,383343,191671,115002,76670
Isha Rani Suri,Female,Divorced,21-25,Dehradun,Business,1300602,650301,390180,260121
Rachna Kumari Mahajan,Female,Divorced,51-60,Varanasi,Business,655448,327724,196634,131090
Mohit Mohan Pandey,Male,Married,21-25,Dehradun,Private,1017101,508550,305130,203421
Aditya Narayan Aggarwal,Male,Single,51-60,Agra,Private,871319,435659,261395,174265
Amit Nath Yadav,Male,Divorced,51-60,Indore,Business,478272,239136,143481,95655
Vinod Mohan Pandey,Male,Unmarried,36-50,Varanasi,Public,821091,410545,246327,164219
Rahul Prasad Goyal,Male,Married,36-50,Prayagraj,Private,390317,195158,117095,78064
Ananya Bala Luthra,Female,Unmarried,51-60,Aligarh,Private,1077207,538603,323162,215442
Kusum Shree Mathur,Female,Divorced,26-35,Varanasi,Government,1051232,525616,315369,210247
Tanvi Devi Srivastava,Female,Unmarried,21-25,Agra,Private,814131,407065,244239,162827
Babita Bala Chhabra,Female,Married,26-35,Prayagraj,Government,931402,465701,279420,186281
Babita Shree Chauhan,Female,Unmarried,51-60,Dehradun,Government,729140,364570,218742,145828
Ashish Lal Bhatia,Male,Unmarried,36-50,Agra,Business,724789,362394,217436,144959
Yash Narayan Tripathi,Male,Married,26-35,Ranchi,Private,395379,197689,118613,79077
Shruti Kumari Malhotra,Female,Unmarried,26-35,Indore,Government,465269,232634,139580,93055
Vinod Prasad Joshi,Male,Single,51-60,Noida,Private,1029889,514944,308966,205979
Dinesh Narayan Singh,Male,Unmarried,36-50,Gurgaon,Government,871222,435611,261366,174245
Vivek Nath Suri,Male,Single,36-50,Indore,Business,1372306,686153,411691,274462
Aditya Mohan Suri,Male,Divorced,21-25,Jaipur,Government,1470553,735276,441165,294112
Pranav Nath Srivastava,Male,Unmarried,26-35,Dehradun,Business,923325,461662,276997,184666
Aanchal Rani Sharma,Female,Married,21-25,Ghaziabad,Private,1174747,587373,352424,234950
Megha Shree Sharma,Female,Married,21-25,Lucknow,Business,1128747,564373,338624,225750
Mahesh Narayan Srivastava,Male,Single,51-60,Meerut,Government,837735,418867,251320,167548
Aashi Devi Kapoor,Female,Unmarried,36-50,Delhi,Business,541119,270559,162335,108225
Aarav Nath Bajaj,Male,Married,36-50,Ghaziabad,Public,818113,586352,171789,59972
Geeta Rani Thakur,Female,Married,51-60,Chandigarh,Business,580844,290422,174253,116169
Geeta Rani Sharma,Female,Single,51-60,Patna,Private,1390559,695279,417167,278113
Vinod Narayan Pandey,Male,Unmarried,36-50,Patna,Private,714228,357114,214268,142846
Rahul Narayan Suri,Male,Divorced,21-25,Patna,Private,386594,193297,115978,77319
Kavita Bala Negi,Female,Married,51-60,Varanasi,Business,506098,253049,151829,101220
Deepika Kumari Jain,Female,Single,21-25,Ranchi,Public,625614,446548,116656,62410
Neha Shree Agarwal,Female,Married,21-25,Dehradun,Private,503422,251711,151026,100685
Manish Narayan Singh,Male,Married,51-60,Meerut,Business,464787,232393,139436,92958
Yash Dev Bansal,Male,Divorced,51-60,Ghaziabad,Business,1230860,615430,369258,246172
Aarohi Kumari Verma,Female,Unmarried,51-60,Delhi,Government,748138,374069,224441,149628
Babita Bala Mahajan,Female,Single,21-25,Ghaziabad,Business,429570,214785,128871,85914
Jyoti Rani Malhotra,Female,Single,21-25,Prayagraj,Private,1225766,612883,367729,245154
Harsh Narayan Saxena,Male,Single,26-35,Noida,Business,1368360,684180,410508,273672
Monika Bala Chhabra,Female,Single,51-60,Varanasi,Government,1169439,584719,350831,233889
Preeti Rani Srivastava,Female,Divorced,36-50,Ghaziabad,Business,1204865,602432,361459,240974
Rohit Kumar Gupta,Male,Single,36-50,Noida,Public,1231777,615888,369533,246356
Aarohi Rani Mahajan,Female,Divorced,26-35,Bhopal,Public,1050598,525299,315179,210120
Pallavi Shree Bajaj,Female,Single,21-25,Agra,Private,719302,359651,215790,143861
Kritika Devi Bhardwaj,Female,Unmarried,21-25,Aligarh,Government,1373987,686993,412196,274798
Kiran Rani Agarwal,Female,Divorced,26-35,Prayagraj,Public,958977,479488,287693,191796
Aditi Bala Singh,Female,Married,51-60,Dehradun,Government,792034,396017,237610,158407
Rahul Lal Duggal,Male,Unmarried,21-25,Aligarh,Private,1327503,663751,398250,265502
Suman Devi Mishra,Female,Divorced,51-60,Meerut,Business,454263,227131,136278,90854
Ravi Kumar Thakur,Male,Married,36-50,Dehradun,Private,566510,283255,169953,113302
Harsh Chandra Goyal,Male,Divorced,21-25,Jaipur,Public,1213305,606652,363991,242662
Shalini Devi Arora,Female,Married,21-25,Patna,Public,1358323,679161,407496,271666
Ajeet Narayan Chopra,Male,Divorced,51-60,Indore,Government,1454895,727447,436468,290980
Pankhuri Kumari Tandon,Female,Divorced,21-25,Ghaziabad,Public,1058053,728026,277505,52522
Sneha Shree Seth,Female,Married,51-60,Noida,Business,988209,494104,296462,197643
Yash Nath Khanna,Male,Divorced,26-35,Dehradun,Private,1116389,558194,334916,223279
Pranav Prasad Mehra,Male,Single,51-60,Prayagraj,Private,537495,268747,161248,107500
Ashish Nath Mittal,Male,Single,26-35,Indore,Business,384094,192047,115228,76819
Ritesh Chandra Negi,Male,Married,26-35,Varanasi,Public,1248676,624338,374602,249736
Swati Kumari Arora,Female,Divorced,26-35,Delhi,Private,1349959,674979,404987,269993
Sanjay Mohan Chauhan,Male,Divorced,51-60,Aligarh,Public,558502,279251,167550,111701
Pranav Narayan Mittal,Male,Unmarried,51-60,Gurgaon,Business,577048,288524,173114,115410
Manish Nath Khanna,Male,Divorced,26-35,Delhi,Government,943853,471926,283155,188772
Geeta Kumari Kapoor,Female,Married,21-25,Lucknow,Business,651103,463344,127135,60624
Ajay Nath Sharma,Male,Married,36-50,Delhi,Government,958325,479162,287497,191666
Aaditya Kumar Mishra,Male,Married,21-25,Meerut,Government,1067438,533719,320231,213488
Naveen Dev Verma,Male,Divorced,51-60,Ranchi,Private,787845,393922,236353,157570
Kusum Shree Tripathi,Female,Divorced,26-35,Dehradun,Public,1441417,720708,432425,288284
Karan Lal Mishra,Male,Divorced,26-35,Delhi,Private,554255,277127,166276,110852
Saurabh Narayan Suri,Male,Unmarried,26-35,Noida,Government,941603,470801,282480,188322
Gaurav Narayan Mehra,Male,Single,36-50,Varanasi,Business,412723,206361,123816,82546
Rachna Shree Srivastava,Female,Married,26-35,Delhi,Public,680067,340033,204020,136014
Mukesh Narayan Chopra,Male,Single,51-60,Patna,Business,932965,466482,279889,186594
Yash Nath Luthra,Male,Divorced,51-60,Lucknow,Public,919313,459656,275793,183864
Saurabh Lal Duggal,Male,Married,21-25,Meerut,Public,758213,379106,227463,151644
Radhika Shree Chauhan,Female,Unmarried,36-50,Lucknow,Public,678754,339377,203626,135751
Payal Rani Pandey,Female,Divorced,21-25,Delhi,Private,1036411,518205,310923,207283
Kiran Kumari Bajaj,Female,Unmarried,21-25,Lucknow,Private,617166,308583,185149,123434
Aakarsh Mohan Arora,Male,Single,36-50,Bhopal,Public,951819,475909,285545,190365
Rashmi Kumari Chopra,Female,Single,26-35,Indore,Government,1297090,648545,389127,259418
Pankaj Mohan Yadav,Male,Single,36-50,Gurgaon,Private,1123770,561885,337131,224754
Naresh Nath Yadav,Male,Single,36-50,Ghaziabad,Public,1412922,706461,423876,282585
Megha Kumari Seth,Female,Divorced,21-25,Aligarh,Government,1194202,597101,358260,238841
Ashish Dev Bajaj,Male,Unmarried,26-35,Agra,Business,726843,363421,218052,145370
Aakanksha Rani Chopra,Female,Divorced,21-25,Aligarh,Public,927578,463789,278273,185516
Shruti Devi Malhotra,Female,Divorced,21-25,Chandigarh,Private,756220,378110,226866,151244
Nidhi Shree Chhabra,Female,Divorced,36-50,Aligarh,Business,1343285,671642,402985,268658
Aashi Bala Bhatia,Female,Married,26-35,Delhi,Private,984904,492452,295471,196981
Anurag Nath Seth,Male,Married,26-35,Jaipur,Public,685692,342846,205707,137139
Yash Prasad Chopra,Male,Single,26-35,Ranchi,Private,751379,375689,225413,150277
Shruti Bala Bhatia,Female,Single,36-50,Indore,Government,1318933,659466,395679,263788
Priya Devi Malhotra,Female,Single,21-25,Aligarh,Government,824719,412359,247415,164945
Aadarsh Nath Suri,Male,Divorced,51-60,Gurgaon,Business,669814,334907,200944,133963
Ananya Kumari Mittal,Female,Unmarried,51-60,Delhi,Public,604849,302424,181454,120971
Harsh Prasad Mehra,Male,Single,36-50,Ranchi,Government,528823,264411,158646,105766
Sanjay Prasad Chopra,Male,Single,21-25,Lucknow,Business,1401429,700714,420428,280287
Jyoti Kumari Arora,Female,Unmarried,36-50,Agra,Public,1143489,571744,343046,228699
Vikas Mohan Jain,Male,Married,21-25,Noida,Private,793376,396688,238012,158676
Siddharth Chandra Yadav,Male,Single,36-50,Ghaziabad,Private,899104,449552,269731,179821
Pranav Chandra Khanna,Male,Single,21-25,Aligarh,Government,496298,248149,148889,99260
Rohit Mohan Agarwal,Male,Single,36-50,Ghaziabad,Private,1004417,502208,301325,200884
Priya Rani Negi,Female,Married,21-25,Ranchi,Government,678356,339178,203506,135672
Rachna Rani Mishra,Female,Married,51-60,Noida,Business,999525,499762,299857,199906
Siddharth Chandra Joshi,Male,Single,36-50,Noida,Public,1218368,609184,365510,243674
Gaurav Prasad Goel,Male,Single,36-50,Meerut,Public,1300503,650251,390150,260102
Aadarsh Dev Agarwal,Male,Unmarried,21-25,Delhi,Private,1454291,727145,436287,290859
Rachna Shree Singh,Female,Married,36-50,Bhopal,Business,569291,284645,170787,113859
Shubham Mohan Goyal,Male,Divorced,26-35,Lucknow,Public,1009978,504989,302993,201996
Vandana Kumari Mehra,Female,Divorced,36-50,Noida,Public,1038122,519061,311436,207625
Aarav Kumar Mishra,Male,Single,26-35,Prayagraj,Public,911468,455734,273440,182294
Mukesh Narayan Mathur,Male,Married,51-60,Delhi,Private,906845,453422,272053,181370
Siddharth Chandra Chopra,Male,Single,26-35,Bhopal,Business,867854,433927,260356,173571
Aditya Prasad Tandon,Male,Unmarried,51-60,Dehradun,Government,536565,268282,160969,107314
Naresh Chandra Singh,Male,Divorced,21-25,Varanasi,Private,359032,253763,70840,34429
Aakanksha Shree Kapoor,Female,Divorced,36-50,Varanasi,Government,1244702,622351,373410,248941
Swati Kumari Joshi,Female,Married,51-60,Bhopal,Private,445364,222682,133609,89073
Nisha Shree Arora,Female,Single,21-25,Delhi,Public,533687,266843,160106,106738
Rajesh Dev Chhabra,Male,Married,51-60,Gurgaon,Private,1046856,523428,314056,209372
Rekha Rani Bansal,Female,Unmarried,51-60,Noida,Public,1025532,512766,307659,205107
Rekha Devi Kapoor,Female,Single,21-25,Jaipur,Public,955280,676828,208447,70005
Shubham Nath Chhabra,Male,Divorced,51-60,Dehradun,Public,959417,479708,287825,191884
Kusum Kumari Mishra,Female,Married,36-50,Meerut,Government,1438055,719027,431416,287612
Amit Narayan Tandon,Male,Single,26-35,Bhopal,Government,1329993,664996,398997,266000
Tanvi Shree Gupta,Female,Single,51-60,Ranchi,Government,403169,201584,120950,80635
Sanjay Kumar Mathur,Male,Divorced,51-60,Varanasi,Public,500609,250304,150182,100123
Ishita Kumari Mehra,Female,Married,26-35,Prayagraj,Government,1006825,503412,302047,201366
Kapil Narayan Duggal,Male,Single,21-25,Ghaziabad,Public,1281452,640726,384435,256291
Aditya Nath Kapoor,Male,Divorced,21-25,Noida,Business,573592,286796,172077,114719
Sachin Nath Chopra,Male,Unmarried,21-25,Jaipur,Business,399547,199773,119864,79910
Mukesh Narayan Luthra,Male,Single,36-50,Chandigarh,Public,965985,694872,190243,80870
Aakarsh Kumar Duggal,Male,Married,26-35,Varanasi,Private,1288976,644488,386692,257796
Simran Devi Mishra,Female,Married,51-60,Chandigarh,Business,1438385,719192,431515,287678
Dinesh Nath Tripathi,Male,Unmarried,21-25,Agra,Government,689232,344616,206769,137847
Sunita Rani Goel,Female,Unmarried,36-50,Varanasi,Government,792742,396371,237822,158549
Aditya Nath Mehra,Male,Married,26-35,Bhopal,Public,466184,233092,139855,93237
Sakshi Bala Agarwal,Female,Unmarried,51-60,Gurgaon,Public,1079774,539887,323932,215955
